text,summary
"<page_title> David Berry (actor) </page_title> <section_title> Television </section_title> <table> <cell> Lord John Grey <header> Character </header> </cell> <cell> Outlander <header> Title </header> </cell> <cell> Recurring role, 7 episodes <header> Notes </header> </cell> <cell> Starz <header> Production </header> </cell> </table>",Berry joined the cast of Starz's Outlander in the recurring role of Lord John Grey.
<page_title> Artem Chigvintsev </page_title> <section_title> Dancing with the Stars </section_title> <table> <cell> 32.6 <header> Average </header> </cell> <cell> Nancy Kerrigan <header> Partner </header> </cell> </table>,Kerrigan averaged 32.6 score by Nick Carter.
"<page_title> Bill Cleary (footballer, born 1931) </page_title> <section_title> Statistics </section_title> <table> <cell> 1957-58 <header> Goals </header> <header> Season </header> <header> Total </header> </cell> <cell> 2 <header> 0 </header> <header> FA Cup </header> <header> Goals </header> </cell> <cell> 8 <header> 0 </header> <header> Goals </header> <header> League </header> </cell> <cell> Third Division South <header> 18 </header> <header> Apps </header> <header> Division </header> </cell> </table>",Bill Cleary played eight Third Division South and two FA Cup games in the 1957-58 season.
"<page_title> 1958 Targa Florio </page_title> <section_title> Official Classification </section_title> <table> <cell> 106 <header> 1st </header> <header> No </header> </cell> <cell> 10hr 37:58.1, 14 <header> 1st </header> <header> Laps </header> </cell> <cell> 1st <header> Pos </header> </cell> </table>","Car number 106, won in a time of 10hr 37:58.1."
<page_title> List of Bollywood films of 1996 </page_title> <section_title> list of released films </section_title> <table> <cell> Bunty Soorma <header> Director </header> </cell> <cell> Dushmani: A Violent Love Story <header> Title </header> </cell> </table>,Dushmani: A Violent Love Story is a 1996 Indian Bollywood film directed by Bunty Soorma.
<page_title> John Grant Jr. </page_title> <section_title> NLL </section_title> <table> <cell> 111 <header>  </header> <header> Pts </header> <header> Regular Season </header> </cell> <cell> 2007 <header>  </header> <header> John Grant Jr. </header> <header> Season </header> </cell> <cell> 60 <header>  </header> <header> A </header> <header> Regular Season </header> </cell> <cell> Rochester Knighthawks <header>  </header> <header> John Grant Jr. </header> <header> Team </header> </cell> </table>,John Grant Jr. of Rochester Knighthawks recorded 60 assists and 111 points in 2007.
<page_title> List of women in the Heritage Floor </page_title> <table> <cell> Adelaide of Susa <header> Name </header> </cell> <cell> Italy <header> Location </header> </cell> </table>,"Adelaide of Italy is a figure on Judy Chicago's installation piece, The Dinner Party being represented as one in the Heritage Floor."
<page_title> Close Your Eyes (band) </page_title> <section_title> Studio albums </section_title> <table> <cell> 2010 <header> US </header> <header> Year </header> </cell> <cell> 2011 <header> US </header> <header> Year </header> </cell> <cell> Empty Hands and Heavy Hearts <header> Title </header> <header> US Christian </header> </cell> <cell> Victory <header> Label </header> <header> US Hard Rock </header> </cell> <cell> We Will Overcome <header> Title </header> <header> US Christian </header> </cell> </table>,"Signed to Victory Records, Close Your Eyes group released their debut album in 2010, We Will Overcome, and a second album Empty Hands and Heavy Hearts in 2011."
<page_title> Arthur Rowley </page_title> <section_title> Career statistics </section_title> <table> <cell> 1950-51 <header> 24 </header> <header> 56 </header> <header> Goals </header> <header> Season </header> </cell> <cell> 1951-52 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 1952-53 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 1953-54 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 1954-55 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 1955-56 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 1956-57 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 1957-58 <header> Apps </header> <header> Club </header> <header> Total </header> <header> Total </header> </cell> <cell> 265 <header> 14 </header> <header> 18 </header> <header> 251 </header> <header> 27 </header> <header> 303 </header> <header> 321 </header> <header> 4 </header> <header> Total </header> <header> Total </header> </cell> <cell> 321 <header> 14 </header> <header> 18 </header> <header> 24 </header> <header> 251 </header> <header> 303 </header> <header> 59 </header> <header> Cup </header> <header> Goals </header> <header> Total </header> </cell> </table>,"In his 8 seasons, Rowley scored 265 goals in 321 games."
<page_title> List of Boca Juniors head coaches </page_title> <section_title> Head coaches </section_title> <table> <cell> 1993 <header> Period </header> </cell> <cell> Argentina Osvaldo Potente <header> Name </header> </cell> </table>,Potente was the head coach of Boca Juniors in 1993.
<page_title> Raj Kapoor </page_title> <section_title> Partial filmography </section_title> <table> <cell> 1971 <header> Kal Aaj Aur Kal </header> <header> Producer </header> <header> Year </header> </cell> <cell> Kal Aaj Aur Kal <header> Aag </header> <header> Aah </header> <header> Actor </header> <header> Anari </header> <header> Andaz </header> <header> Awaara </header> <header> Barsaat </header> <header> Boot Polish </header> <header> Chhalia </header> <header> Chori Chori </header> <header> Dil Hi To Hai </header> <header> Gauri </header> <header> Inquilab </header> <header> Jagte Raho </header> <header> Jail Yatra </header> <header> Jis Desh Men Ganga Behti Hai </header> <header> Mera Naam Joker </header> <header> Neel Kamal </header> <header> Parvarish </header> <header> Phir Subah Hogi </header> <header> Sangam </header> <header> Sargam </header> <header> Sharada </header> <header> Shree 420 </header> <header> Teesri Kasam </header> <header> Title </header> </cell> <cell> Randhir Kapoor <header> Director </header> <header> Kal Aaj Aur Kal </header> </cell> </table>,"In 1971, Randhir Kapoor directed Kal Aaj Aur Kal, starring Raj Kapoor."
<page_title> Shelby Young </page_title> <section_title> Television </section_title> <table> <cell> 2001 <header> Year </header> </cell> <cell> Going to California <header> Title </header> </cell> <cell> Sue Ann Butler <header> Role </header> </cell> </table>,Young's first role was in 2001 when she played the role of Sue Ann Butler in Going to California.
<page_title> 1950 Atlantic hurricane season </page_title> <section_title> Season effects </section_title> <table> <cell> 115 (185) <header> Max 1-min wind mph (km/h) </header> </cell> <cell> Jig <header> Storm name </header> </cell> </table>,Hurricane Jig had sustained winds of 115 mph (185 km/h).
<page_title> Mario Lopez </page_title> <section_title> Filmography </section_title> <table> <cell> 1987 <header> Year </header> </cell> <cell> Mario <header> Role </header> </cell> <cell> The Golden Girls <header> Film </header> </cell> </table>,"In 1987, Mario Lopez was cast on The Golden Girls as Mario."
<page_title> Muhammad ibn Ra'iq </page_title> <section_title> Sources </section_title> <table> <cell> New title </cell> <cell> amir al-umara of the Abbasid Caliphate 10 November 936 - 9 September 938 </cell> </table>,"In 936, Muhammad ibn Ra'iq got the new title as amir al-umara."
<page_title> List of Malayalam films of 1981 </page_title> <table> <cell> Hariharan <header> Film </header> </cell> <cell> Poocha Sanyasi <header> Opening </header> </cell> </table>,"Poocha Sanyasi is a 1981 Malayalam film, directed by Hariharan."
<page_title> List of busiest airports by passenger traffic </page_title> <section_title> Preliminary 2018 statistics </section_title> <table> <cell> 9. <header> Rank </header> </cell> <cell> China Shanghai Pudong International Airport <header> Airport </header> </cell> </table>,Pudong Airport is the ninth-busiest in the world.
<page_title> 2005 Cheltenham & Gloucester Trophy </page_title> <section_title> First Round </section_title> <table> <cell> Nottinghamshire Outlaws 121/4 (26.2 overs) </cell> </table>,Nottinghamshire lost 4 wickets for 121 (26.2 overs).
